,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,14.607,147.899,13.5,497.298,1817.16,66.078,0.0,REFPROP::R1336MZZZ
32,14.607,70.0,13.5,287.171,1280.291,7.965,0.0,REFPROP::R1336MZZZ
33,14.607,32.058,13.298,238.933,1131.459,1.868,0.0,REFPROP::R1336MZZZ
34,14.607,9.99,0.393,237.019,1131.459,-0.045,0.144,REFPROP::R1336MZZZ
35,14.607,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,14.607,65.0,0.387,435.186,1817.16,3.965,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,217730.463,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,217730.463,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
