,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.268,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,12.268,19.107,50.0,226.807,1081.768,34.464,0,REFPROP::R134a
63,12.268,29.598,49.25,241.296,1130.674,35.105,0,REFPROP::R134a
64,12.268,131.0,46.788,471.528,1769.902,84.339,0,REFPROP::R134a
65,12.268,39.338,5.475,429.104,1785.107,37.61,0,REFPROP::R134a
66,12.268,24.107,5.393,414.615,1738.667,36.271,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,780.756,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,780.756,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
