,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.248,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,12.248,19.107,50.0,226.807,1081.768,34.464,0,REFPROP::R134a
63,12.248,36.588,50.0,251.16,1162.681,35.906,0,REFPROP::R134a
64,12.248,140.0,47.5,485.361,1802.985,88.805,0,REFPROP::R134a
65,12.248,44.701,5.393,434.388,1802.985,37.832,0,REFPROP::R134a
66,12.248,19.107,5.393,409.724,1722.072,36.079,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,759.591,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,759.591,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
