,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.55,16.5,5.123,222.568,1079.59,30.841,0,REFPROP::R134a
62,12.55,19.107,50.0,226.807,1081.768,34.464,0,REFPROP::R134a
63,12.55,32.383,50.0,245.209,1143.337,35.432,0,REFPROP::R134a
64,12.55,131.5,47.5,471.154,1768.232,84.438,0,REFPROP::R134a
65,12.55,38.334,5.393,428.301,1783.642,37.222,0,REFPROP::R134a
66,12.55,19.107,5.393,409.724,1722.072,36.079,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,778.322,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,778.322,13.0,1.013,412.36,3839.203,0.016,0,REFPROP::air
